Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,Price
CPU,,Intel,Core i5-2537M,891,44,490,https://cpu.userbenchmark.com/SpeedTest/3186/IntelR-CoreTM-i5-2537M-CPU---140GHz,
CPU,AD9800AUABBOX,AMD,A12-9800 APU (2016 M.BR),892,44,4241,https://cpu.userbenchmark.com/SpeedTest/283761/AMD-A12-9800-RADEON-R7-12-COMPUTE-CORES-4C-8G,
CPU,,Intel,Core i3-4010U,893,44,12162,https://cpu.userbenchmark.com/SpeedTest/4821/IntelR-CoreTM-i3-4010U-CPU---170GHz,
CPU,,Intel,Pentium B940,894,44,3831,https://cpu.userbenchmark.com/SpeedTest/2724/IntelR-PentiumR-CPU-B940---200GHz,
CPU,,Intel,Core i3-1005G1,895,43.8,22960,https://cpu.userbenchmark.com/SpeedTest/906918/IntelR-CoreTM-i3-1005G1-CPU---120GHz,
CPU,,Intel,Core2 Quad Q8300,896,43.8,20482,https://cpu.userbenchmark.com/SpeedTest/1930/IntelR-CoreTM2-Quad-CPU----Q8300----250GHz,
CPU,,Intel,Core2 Duo E8600,897,43.7,6109,https://cpu.userbenchmark.com/SpeedTest/124/IntelR-CoreTM2-Duo-CPU-----E8600----333GHz,
CPU,,Intel,Core M-5Y51,898,43.7,484,https://cpu.userbenchmark.com/SpeedTest/24458/IntelR-CoreTM-M-5Y51-CPU---110GHz,
CPU,AD765KXBJABOX,AMD,A8-7650K APU (2014 D.Ka),899,43.7,15487,https://cpu.userbenchmark.com/SpeedTest/27184/AMD-A8-7650K-Radeon-R7-10-Compute-Cores-4C-6G,
CPU,,Intel,Pentium B960,900,43.7,13355,https://cpu.userbenchmark.com/SpeedTest/1038/IntelR-PentiumR-CPU-B960---220GHz,
CPU,,Intel,Core i5-4300U,901,43.7,36631,https://cpu.userbenchmark.com/SpeedTest/4996/IntelR-CoreTM-i5-4300U-CPU---190GHz,
CPU,,AMD,A10-5757M APU,902,43.7,1325,https://cpu.userbenchmark.com/SpeedTest/7160/AMD-A10-5757M-APU-with-Radeontm-HD-Graphics,
CPU,,AMD,Athlon II X3 450,903,43.6,4468,https://cpu.userbenchmark.com/SpeedTest/91/AMD-Athlontm-II-X3-450-Processor,
CPU,,Intel,Core i7-7Y75,904,43.6,2904,https://cpu.userbenchmark.com/SpeedTest/211988/IntelR-CoreTM-i7-7Y75-CPU---130GHz,
CPU,,AMD,Athlon II X4 620,905,43.6,5981,https://cpu.userbenchmark.com/SpeedTest/3430/AMD-Athlontm-II-X4-620-Processor,
CPU,,AMD,Athlon II X3 445,906,43.6,3101,https://cpu.userbenchmark.com/SpeedTest/1775/AMD-Athlontm-II-X3-445-Processor,
CPU,,Intel,Core m5-6Y57,907,43.5,1787,https://cpu.userbenchmark.com/SpeedTest/42768/IntelR-CoreTM-m5-6Y57-CPU---110GHz,
CPU,,Intel,Core i3-6100U,908,43.4,24116,https://cpu.userbenchmark.com/SpeedTest/37381/IntelR-CoreTM-i3-6100U-CPU---230GHz,
CPU,AM973PAEY44AB,AMD,A12-9730P APU (2016 M.BR),909,43.4,366,https://cpu.userbenchmark.com/SpeedTest/236011/AMD-A12-9730P-RADEON-R7-10-COMPUTE-CORES-4C-6G,
CPU,,Intel,Core i3-7100U,910,43.4,37239,https://cpu.userbenchmark.com/SpeedTest/176913/IntelR-CoreTM-i3-7100U-CPU---240GHz,
CPU,,Intel,Pentium B950,911,43.3,7305,https://cpu.userbenchmark.com/SpeedTest/1968/IntelR-PentiumR-CPU-B950---210GHz,
CPU,,Intel,Core m5-6Y54,912,43.3,1733,https://cpu.userbenchmark.com/SpeedTest/40602/IntelR-CoreTM-m5-6Y54-CPU---110GHz,
CPU,,Intel,Pentium 2117U,913,43.2,5157,https://cpu.userbenchmark.com/SpeedTest/6356/IntelR-PentiumR-CPU-2117U---180GHz,
CPU,,Intel,Celeron 1037U,914,43.2,2458,https://cpu.userbenchmark.com/SpeedTest/3597/IntelR-CeleronR-CPU-1037U---180GHz,
CPU,,AMD,Athlon II X3 440,915,43.1,1929,https://cpu.userbenchmark.com/SpeedTest/5315/AMD-Athlontm-II-X3-440-Processor,
CPU,,AMD,A8-3800 APU,916,43.1,1505,https://cpu.userbenchmark.com/SpeedTest/7059/AMD-A8-3800-APU-with-Radeontm-HD-Graphics,
CPU,,Intel,Xeon X3220,917,43.1,790,https://cpu.userbenchmark.com/SpeedTest/4801/IntelR-XeonR-CPU-----------X3220----240GHz,
CPU,,Intel,Core2 Quad Q8200,918,43,19990,https://cpu.userbenchmark.com/SpeedTest/3754/IntelR-CoreTM2-Quad--CPU---Q8200----233GHz,
CPU,,Intel,Core i7 M 640,919,43,5045,https://cpu.userbenchmark.com/SpeedTest/4397/IntelR-CoreTM-i7-CPU-------M-640----280GHz,
CPU,,AMD,Athlon II X3 435,920,43,1878,https://cpu.userbenchmark.com/SpeedTest/2024/AMD-Athlontm-II-X3-435-Processor,
CPU,,AMD,Phenom 9650,921,43,2698,https://cpu.userbenchmark.com/SpeedTest/5238/AMD-Phenomtm-9650-Quad-Core-Processor,
CPU,,Intel,Core i3-3217U,922,43,28188,https://cpu.userbenchmark.com/SpeedTest/1643/IntelR-CoreTM-i3-3217U-CPU---180GHz,
CPU,,Intel,Core i5-4202Y,923,42.9,683,https://cpu.userbenchmark.com/SpeedTest/6438/IntelR-CoreTM-i5-4202Y-CPU---160GHz,
CPU,AD786KYBJCSBX,AMD,A10-7860K APU (2014 D.Ka),924,42.9,12658,https://cpu.userbenchmark.com/SpeedTest/83781/AMD-A10-7860K-Radeon-R7-12-Compute-Cores-4C-8G,
CPU,,Intel,Core i5 M 580,925,42.8,1467,https://cpu.userbenchmark.com/SpeedTest/6113/IntelR-CoreTM-i5-CPU-------M-580----267GHz,
CPU,,Intel,Core m7-6Y75,926,42.8,1933,https://cpu.userbenchmark.com/SpeedTest/55308/IntelR-CoreTM-m7-6Y75-CPU---120GHz,
CPU,,AMD,Phenom 9550,927,42.7,2773,https://cpu.userbenchmark.com/SpeedTest/2319/AMD-Phenomtm-9550-Quad-Core-Processor,
CPU,,Intel,Core i3-2375M,928,42.6,1542,https://cpu.userbenchmark.com/SpeedTest/5058/IntelR-CoreTM-i3-2375M-CPU---150GHz,
CPU,,Intel,Core2 Quad,929,42.6,5765,https://cpu.userbenchmark.com/SpeedTest/374/IntelR-CoreTM2-Quad-CPU-------------240GHz,
CPU,,Intel,Core i3-4012Y,930,42.6,548,https://cpu.userbenchmark.com/SpeedTest/12259/IntelR-CoreTM-i3-4012Y-CPU---150GHz,
CPU,,Intel,Core i5-4200U,931,42.6,64450,https://cpu.userbenchmark.com/Intel-Core-i5-4200U/Rating/2742,
CPU,,AMD,Athlon II X2 270,932,42.6,6369,https://cpu.userbenchmark.com/SpeedTest/1939/AMD-Athlontm-II-X2-270-Processor,
CPU,,Intel,Celeron B830,933,42.6,3455,https://cpu.userbenchmark.com/SpeedTest/8441/IntelR-CeleronR-CPU-B830---180GHz,
CPU,,AMD,A10-4600M APU,934,42.6,5886,https://cpu.userbenchmark.com/SpeedTest/1051/AMD-A10-4600M-APU-with-Radeontm-HD-Graphics,
CPU,,AMD,Athlon II X2 260,935,42.4,5317,https://cpu.userbenchmark.com/SpeedTest/4651/AMD-Athlontm-II-X2-260-Processor,
CPU,,Intel,Celeron 1000M,936,42.4,3569,https://cpu.userbenchmark.com/SpeedTest/5059/IntelR-CeleronR-CPU-1000M---180GHz,
CPU,,Intel,Xeon E3110,937,42.4,372,https://cpu.userbenchmark.com/SpeedTest/4226/IntelR-XeonR-CPU-----------E3110----300GHz,
CPU,,Intel,Celeron B820,938,42.3,3353,https://cpu.userbenchmark.com/SpeedTest/7064/IntelR-CeleronR-CPU-B820---170GHz,
CPU,AM963PAEY44AB,AMD,A10-9630P APU (2016 M.BR),939,42.2,573,https://cpu.userbenchmark.com/SpeedTest/192670/AMD-A10-9630P-RADEON-R5-10-COMPUTE-CORES-4C-6G,
CPU,,Intel,Core i3-2367M,940,42.2,2143,https://cpu.userbenchmark.com/SpeedTest/526/IntelR-CoreTM-i3-2367M-CPU---140GHz,
CPU,,AMD,Athlon II X3 425,941,42.1,1367,https://cpu.userbenchmark.com/SpeedTest/2178/AMD-Athlontm-II-X3-425-Processor,
CPU,,Intel,Core i7 M 620,942,42.1,9076,https://cpu.userbenchmark.com/SpeedTest/870/IntelR-CoreTM-i7-CPU-------M-620----267GHz,
CPU,,Intel,Core i3 M 390,943,42,1039,https://cpu.userbenchmark.com/SpeedTest/8797/IntelR-CoreTM-i3-CPU-------M-390----267GHz,
CPU,,AMD,A8-7600 APU (2014 D.Ka),944,41.9,31243,https://cpu.userbenchmark.com/SpeedTest/14050/AMD-A8-7600-Radeon-R7-10-Compute-Cores-4C-6G,
CPU,AD9700AGABBOX,AMD,A10-9700 APU (2016 M.BR),945,41.9,11837,https://cpu.userbenchmark.com/SpeedTest/262171/AMD-A10-9700-RADEON-R7-10-COMPUTE-CORES-4C-6G,
CPU,,Intel,Xeon E5405,946,41.9,719,https://cpu.userbenchmark.com/SpeedTest/25434/IntelR-XeonR-CPU-----------E5405----200GHz,
CPU,,Intel,Core2 Duo E8500,947,41.9,18841,https://cpu.userbenchmark.com/SpeedTest/13/IntelR-CoreTM2-Duo-CPU-----E8500----316GHz,
CPU,,AMD,Athlon II X2 255,948,41.8,3508,https://cpu.userbenchmark.com/SpeedTest/6225/AMD-Athlontm-II-X2-255-Processor,
CPU,,AMD,A8-5550M APU,949,41.7,3681,https://cpu.userbenchmark.com/SpeedTest/5035/AMD-A8-5550M-APU-with-Radeontm-HD-Graphics,
CPU,,Intel,Core i5-5200U,950,41.7,107407,https://cpu.userbenchmark.com/SpeedTest/22169/IntelR-CoreTM-i5-5200U-CPU---220GHz,
CPU,BX80562Q6600,Intel,Core2 Quad Q6600,951,41.6,59658,https://cpu.userbenchmark.com/Intel-Core2-Quad-Q6600/Rating/1980,
CPU,,Intel,Celeron B815,952,41.6,2620,https://cpu.userbenchmark.com/SpeedTest/3210/IntelR-CeleronR-CPU-B815---160GHz,
CPU,,AMD,Phenom II N660,953,41.6,385,https://cpu.userbenchmark.com/SpeedTest/9034/AMD-Phenomtm-II-N660-Dual-Core-Processor,
CPU,,Intel,Core i5-5300U,954,41.6,29898,https://cpu.userbenchmark.com/SpeedTest/16790/IntelR-CoreTM-i5-5300U-CPU---230GHz,
CPU,,AMD,Athlon II X2 B24,955,41.6,2045,https://cpu.userbenchmark.com/SpeedTest/6359/AMD-Athlontm-II-X2-B24-Processor,
CPU,,Intel,Core2 Quad Q9000,956,41.5,869,https://cpu.userbenchmark.com/SpeedTest/5898/IntelR-CoreTM2-Quad--CPU---Q9000----200GHz,
CPU,,Intel,Celeron 887,957,41.5,588,https://cpu.userbenchmark.com/SpeedTest/24/IntelR-CeleronR-CPU-887---150GHz,
CPU,,AMD,A10-5750M APU,958,41.5,4247,https://cpu.userbenchmark.com/SpeedTest/3779/AMD-A10-5750M-APU-with-Radeontm-HD-Graphics,
CPU,,Intel,Core i5 M 560,959,41.4,10722,https://cpu.userbenchmark.com/SpeedTest/623/IntelR-CoreTM-i5-CPU-------M-560----267GHz,
CPU,,Intel,Core i5-4210U,960,41.3,82966,https://cpu.userbenchmark.com/SpeedTest/12662/IntelR-CoreTM-i5-4210U-CPU---170GHz,
CPU,,Intel,Core2 Extreme X9100,961,41.3,548,https://cpu.userbenchmark.com/SpeedTest/6202/IntelR-CoreTM2-Extreme-CPU-X9100----306GHz,
CPU,,Intel,Core i5-6200U,962,41.3,135462,https://cpu.userbenchmark.com/SpeedTest/36796/IntelR-CoreTM-i5-6200U-CPU---230GHz,
CPU,,Intel,Core2 Duo E8300,963,41.3,1428,https://cpu.userbenchmark.com/SpeedTest/1068/IntelR-CoreTM2-Duo-CPU-----E8300----283GHz,
CPU,,Intel,Core i3-2365M,964,41.2,2016,https://cpu.userbenchmark.com/SpeedTest/2519/IntelR-CoreTM-i3-2365M-CPU---140GHz,
CPU,,AMD,Athlon X2 240,965,41.1,291,https://cpu.userbenchmark.com/SpeedTest/8553/AMD-Athlontm-X2-240-Processor,
CPU,,Intel,Celeron 1017U,966,41.1,1642,https://cpu.userbenchmark.com/SpeedTest/3839/IntelR-CeleronR-CPU-1017U---160GHz,
CPU,,Intel,Core i5 M 480,967,41.1,16023,https://cpu.userbenchmark.com/SpeedTest/3496/IntelR-CoreTM-i5-CPU-------M-480----267GHz,
CPU,,AMD,Phenom X3 8650,968,41,1447,https://cpu.userbenchmark.com/SpeedTest/4548/AMD-Phenomtm-8650-Triple-Core-Processor,
CPU,,AMD,A8-3530MX APU,969,40.9,441,https://cpu.userbenchmark.com/SpeedTest/1796/AMD-A8-3530MX-APU-with-Radeontm-HD-Graphics,
CPU,,Intel,Core i5 M 540,970,40.9,8329,https://cpu.userbenchmark.com/SpeedTest/882/IntelR-CoreTM-i5-CPU-------M-540----253GHz,
CPU,,Intel,Pentium G6950,971,40.7,1090,https://cpu.userbenchmark.com/SpeedTest/638/IntelR-PentiumR-CPU--------G6950----280GHz,
CPU,,Intel,Xeon E5345,972,40.7,284,https://cpu.userbenchmark.com/SpeedTest/10151/IntelR-XeonR-CPU-----------E5345----233GHz,
CPU,,AMD,Phenom II N950,973,40.7,264,https://cpu.userbenchmark.com/SpeedTest/213/AMD-Phenomtm-II-N950-Quad-Core-Processor,
CPU,,AMD,A10-7800 APU (2014 D.Ka),974,40.7,15719,https://cpu.userbenchmark.com/SpeedTest/13491/AMD-A10-7800-Radeon-R7-12-Compute-Cores-4C-8G,
CPU,,AMD,Ryzen 3 3200U,975,40.7,21522,https://cpu.userbenchmark.com/SpeedTest/771805/AMD-Ryzen-3-3200U-with-Radeon-Vega-Mobile-Gfx,
CPU,,Intel,Pentium E6800,976,40.7,851,https://cpu.userbenchmark.com/SpeedTest/4231/PentiumR-Dual-Core--CPU------E6800----333GHz,
CPU,AD9800AHABBOX,AMD,A12-9800E APU (2016 M.BR),977,40.7,768,https://cpu.userbenchmark.com/SpeedTest/345210/AMD-A12-9800E-RADEON-R7-12-COMPUTE-CORES-4C-8G,
CPU,,AMD,Athlon 64 X2 Dual Core 6000+,978,40.7,5594,https://cpu.userbenchmark.com/SpeedTest/5708/AMD-Athlontm-64-X2-Dual-Core-Processor-6000-,
CPU,,Intel,Core2 Duo T9900,979,40.7,1008,https://cpu.userbenchmark.com/SpeedTest/972/IntelR-CoreTM2-Duo-CPU-----T9900----306GHz,
CPU,,Intel,Core2 Duo T9800,980,40.6,537,https://cpu.userbenchmark.com/SpeedTest/7044/IntelR-CoreTM2-Duo-CPU-----T9800----293GHz,
CPU,,Intel,Core i7 L 640,981,40.6,2030,https://cpu.userbenchmark.com/SpeedTest/4880/IntelR-CoreTM-i7-CPU-------L-640----213GHz,
CPU,,AMD,Athlon II X2 245,982,40.6,6247,https://cpu.userbenchmark.com/SpeedTest/2018/AMD-Athlontm-II-X2-245-Processor,
CPU,,Intel,Celeron 877,983,40.5,671,https://cpu.userbenchmark.com/SpeedTest/6414/IntelR-CeleronR-CPU-877---140GHz,
CPU,,AMD,Athlon 7850,984,40.5,530,https://cpu.userbenchmark.com/SpeedTest/2660/AMD-Athlontm-7850-Dual-Core-Processor,
CPU,,AMD,A6-3620 APU,985,40.5,2758,https://cpu.userbenchmark.com/SpeedTest/8057/AMD-A6-3620-APU-with-Radeontm-HD-Graphics,
CPU,,Intel,Core i3-7020U,986,40.5,28454,https://cpu.userbenchmark.com/SpeedTest/576199/IntelR-CoreTM-i3-7020U-CPU---230GHz,
CPU,,AMD,Phenom 9150e,987,40.5,947,https://cpu.userbenchmark.com/SpeedTest/7599/AMD-Phenomtm-9150e-Quad-Core-Processor,
CPU,,Intel,Core i5-6300U,988,40.4,59619,https://cpu.userbenchmark.com/SpeedTest/27864/IntelR-CoreTM-i5-6300U-CPU---240GHz,
CPU,,Intel,Celeron B800,989,40.4,2662,https://cpu.userbenchmark.com/SpeedTest/6775/IntelR-CeleronR-CPU-B800---150GHz,
CPU,,AMD,A8-3510MX APU,990,40.3,528,https://cpu.userbenchmark.com/SpeedTest/5873/AMD-A8-3510MX-APU-with-Radeontm-HD-Graphics,
CPU,,AMD,Athlon II X2 250 (2013 D.Ri),991,40.3,19471,https://cpu.userbenchmark.com/SpeedTest/1064/AMD-Athlontm-II-X2-250-Processor,
CPU,,Intel,Core2 Duo E8400,992,40.3,68540,https://cpu.userbenchmark.com/Intel-Core2-Duo-E8400/Rating/2720,
CPU,,Intel,Core2 Duo P9700,993,40.3,485,https://cpu.userbenchmark.com/SpeedTest/3330/IntelR-CoreTM2-Duo-CPU-----P9700----280GHz,
CPU,,Intel,Core i5 M 460,994,40.3,18336,https://cpu.userbenchmark.com/SpeedTest/126/IntelR-CoreTM-i5-CPU-------M-460----253GHz,
CPU,,AMD,A6-5400K APU,995,40.3,7836,https://cpu.userbenchmark.com/SpeedTest/4113/AMD-A6-5400K-APU-with-Radeontm-HD-Graphics,
CPU,,Intel,Celeron 3205U,996,40.3,915,https://cpu.userbenchmark.com/SpeedTest/28911/IntelR-CeleronR-3205U---150GHz,
CPU,,Intel,Core2 Duo E8200,997,40.2,4318,https://cpu.userbenchmark.com/SpeedTest/3200/IntelR-CoreTM2-Duo-CPU-----E8200----266GHz,
CPU,,Intel,Core i5 M 520,998,40.1,23644,https://cpu.userbenchmark.com/SpeedTest/812/IntelR-CoreTM-i5-CPU-------M-520----240GHz,
CPU,,AMD,Athlon II X2 240,999,40.1,5506,https://cpu.userbenchmark.com/SpeedTest/4133/AMD-Athlontm-II-X2-240-Processor,
CPU,,Intel,Core i5 M 450,1000,40,8084,https://cpu.userbenchmark.com/SpeedTest/2006/IntelR-CoreTM-i5-CPU-------M-450----240GHz,
CPU,,AMD,A4-6300 APU,1001,40,10924,https://cpu.userbenchmark.com/SpeedTest/10639/AMD-A4-6300-APU-with-Radeontm-HD-Graphics,
CPU,,Intel,Pentium 987,1002,39.9,1524,https://cpu.userbenchmark.com/SpeedTest/4947/IntelR-PentiumR-CPU-987---150GHz,
CPU,,AMD,A4-5300 APU,1003,39.9,7032,https://cpu.userbenchmark.com/SpeedTest/3554/AMD-A4-5300-APU-with-Radeontm-HD-Graphics,
CPU,AD9600AGABBOX,AMD,A8-9600 APU (2016 D.BR),1004,39.9,12273,https://cpu.userbenchmark.com/SpeedTest/339630/AMD-A8-9600-RADEON-R7-10-COMPUTE-CORES-4C-6G,
CPU,,AMD,A6-6400K APU,1005,39.8,13306,https://cpu.userbenchmark.com/SpeedTest/3048/AMD-A6-6400K-APU-with-Radeontm-HD-Graphics,
CPU,FM983PAEY44AB,AMD,FX-9830P APU (2016 M.BR),1006,39.8,4052,https://cpu.userbenchmark.com/SpeedTest/215072/AMD-FX-9830P-RADEON-R7-12-COMPUTE-CORES-4C-8G,
CPU,,Intel,Core i3 M 380,1007,39.8,21755,https://cpu.userbenchmark.com/SpeedTest/919/IntelR-CoreTM-i3-CPU-------M-380----253GHz,
CPU,,Intel,Core i3-2357M,1008,39.8,125,https://cpu.userbenchmark.com/SpeedTest/6916/IntelR-CoreTM-i3-2357M-CPU---130GHz,
CPU,,AMD,Phenom II N850,1009,39.7,308,https://cpu.userbenchmark.com/SpeedTest/6473/AMD-Phenomtm-II-N850-Triple-Core-Processor,
CPU,,AMD,Phenom II N930,1010,39.7,536,https://cpu.userbenchmark.com/SpeedTest/6654/AMD-Phenomtm-II-N930-Quad-Core-Processor,
CPU,,Intel,Pentium E6700,1011,39.6,5273,https://cpu.userbenchmark.com/SpeedTest/2030/PentiumR-Dual-Core--CPU------E6700----320GHz,
CPU,,Intel,Core2 Duo E7600,1012,39.6,4159,https://cpu.userbenchmark.com/SpeedTest/4924/IntelR-CoreTM2-Duo-CPU-----E7600----306GHz,
CPU,,Intel,Core2 X6800,1013,39.6,267,https://cpu.userbenchmark.com/SpeedTest/8640/IntelR-CoreTM2-CPU---------X6800----293GHz,
CPU,,Intel,Core2 Duo E6850,1014,39.6,4150,https://cpu.userbenchmark.com/SpeedTest/681/IntelR-CoreTM2-Duo-CPU-----E6850----300GHz,
CPU,,Intel,Xeon E5335,1015,39.5,166,https://cpu.userbenchmark.com/SpeedTest/24658/IntelR-XeonR-CPU-----------E5335----200GHz,
CPU,FH8068003067415,Intel,Pentium Silver J5005,1016,39.5,2202,https://cpu.userbenchmark.com/SpeedTest/487063/IntelR-PentiumR-Silver-J5005-CPU---150GHz,
CPU,,Intel,Core2 Duo T9500,1017,39.4,996,https://cpu.userbenchmark.com/SpeedTest/4254/IntelR-CoreTM2-Duo-CPU-----T9500----260GHz,
CPU,,Intel,Celeron 1007U,1018,39.4,5995,https://cpu.userbenchmark.com/SpeedTest/3995/IntelR-CeleronR-CPU-1007U---150GHz,
CPU,,Intel,Core i5 M 430,1019,39.4,14318,https://cpu.userbenchmark.com/SpeedTest/34/IntelR-CoreTM-i5-CPU-------M-430----227GHz,
CPU,,AMD,Phenom X3 8450,1020,39.3,1789,https://cpu.userbenchmark.com/SpeedTest/3789/AMD-Phenomtm-8450-Triple-Core-Processor,
CPU,HE8067702740049,Intel,Pentium Gold 4425Y,1021,39.3,557,https://cpu.userbenchmark.com/SpeedTest/786431/IntelR-PentiumR-CPU-4425Y---170GHz,
CPU,,Intel,Core i3 M 370,1022,39.3,23407,https://cpu.userbenchmark.com/SpeedTest/259/IntelR-CoreTM-i3-CPU-------M-370----240GHz,
CPU,,Intel,Core2 Duo E7500,1023,39.2,39897,https://cpu.userbenchmark.com/SpeedTest/987/IntelR-CoreTM2-Duo-CPU-----E7500----293GHz,
CPU,,Intel,Core i7 L 620,1024,39.2,387,https://cpu.userbenchmark.com/SpeedTest/952/IntelR-CoreTM-i7-CPU-------L-620----200GHz,
CPU,,Intel,Pentium E6500,1025,39.2,5942,https://cpu.userbenchmark.com/SpeedTest/720/PentiumR-Dual-Core--CPU------E6500----293GHz,
CPU,,AMD,A6-3500 APU,1026,39.1,2804,https://cpu.userbenchmark.com/SpeedTest/4150/AMD-A6-3500-APU-with-Radeontm-HD-Graphics,
CPU,,AMD,A4-4000 APU,1027,39.1,6528,https://cpu.userbenchmark.com/SpeedTest/8144/AMD-A4-4000-APU-with-Radeontm-HD-Graphics,
CPU,,Intel,Core2 Duo T9400,1028,39.1,3295,https://cpu.userbenchmark.com/SpeedTest/3645/IntelR-CoreTM2-Duo-CPU-----T9400----253GHz,
CPU,,AMD,FX-7600P APU (2014 M.Ka),1029,39.1,1094,https://cpu.userbenchmark.com/SpeedTest/23736/AMD-FX-7600P-Radeon-R7-12-Compute-Cores-4C-8G,
CPU,,Intel,Core2 Duo P9500,1030,39,301,https://cpu.userbenchmark.com/SpeedTest/5851/IntelR-CoreTM2-Duo-CPU-----P9500----253GHz,
CPU,,Intel,Pentium E6600,1031,39,5119,https://cpu.userbenchmark.com/SpeedTest/988/PentiumR-Dual-Core--CPU------E6600----306GHz,
CPU,,AMD,A8-4500M APU,1032,39,9726,https://cpu.userbenchmark.com/SpeedTest/758/AMD-A8-4500M-APU-with-Radeontm-HD-Graphics,
CPU,,Intel,Core2 6700,1033,39,2388,https://cpu.userbenchmark.com/SpeedTest/3850/IntelR-CoreTM2-CPU----------6700----266GHz,
CPU,,Intel,Core2 Duo T9600,1034,38.9,2726,https://cpu.userbenchmark.com/SpeedTest/1795/IntelR-CoreTM2-Duo-CPU-----T9600----280GHz,
CPU,HE8067702740013,Intel,Pentium 4410Y,1035,38.9,66,https://cpu.userbenchmark.com/SpeedTest/315867/IntelR-PentiumR-CPU-4410Y---150GHz,
CPU,,AMD,Athlon 7750,1036,38.8,2273,https://cpu.userbenchmark.com/SpeedTest/3774/AMD-Athlontm-7750-Dual-Core-Processor,
CPU,,AMD,Athlon II X2 220,1037,38.7,5045,https://cpu.userbenchmark.com/SpeedTest/5455/AMD-Athlontm-II-X2-220-Processor,
CPU,,AMD,Athlon 64 X2 Dual Core 5600+,1038,38.6,3286,https://cpu.userbenchmark.com/SpeedTest/2183/AMD-Athlontm-64-X2-Dual-Core-Processor-5600-,
CPU,,AMD,A6-7470K APU (2014 D.Ka),1039,38.6,227,https://cpu.userbenchmark.com/SpeedTest/129200/AMD-A6-7470K-Radeon-R5-6-Compute-Cores-2C-4G,
CPU,,Intel,Core2 Duo P9600,1040,38.6,524,https://cpu.userbenchmark.com/SpeedTest/8493/IntelR-CoreTM2-Duo-CPU-----P9600----266GHz,
CPU,,Intel,Core2 Duo T9550,1041,38.6,1427,https://cpu.userbenchmark.com/SpeedTest/6301/IntelR-CoreTM2-Duo-CPU-----T9550----266GHz,
CPU,,Intel,Core i3-4005U,1042,38.5,37483,https://cpu.userbenchmark.com/SpeedTest/7028/IntelR-CoreTM-i3-4005U-CPU---170GHz,
CPU,,Intel,Core2 Duo E7300,1043,38.5,7475,https://cpu.userbenchmark.com/SpeedTest/2080/IntelR-CoreTM2-Duo-CPU-----E7300----266GHz,
CPU,,Intel,Core i3 M 350,1044,38.5,14351,https://cpu.userbenchmark.com/SpeedTest/572/IntelR-CoreTM-i3-CPU-------M-350----227GHz,
CPU,,AMD,Phenom II N830,1045,38.4,724,https://cpu.userbenchmark.com/SpeedTest/690/AMD-Phenomtm-II-N830-Triple-Core-Processor,
CPU,,Intel,Core2 Duo E7400,1046,38.4,14354,https://cpu.userbenchmark.com/SpeedTest/2077/IntelR-CoreTM2-Duo-CPU-----E7400----280GHz,
CPU,,AMD,Athlon 64 X2 Dual Core 5400+,1047,38.3,956,https://cpu.userbenchmark.com/SpeedTest/4069/AMD-Athlontm-64-X2-Dual-Core-Processor-5400-,
CPU,,AMD,A6-3410MX APU,1048,38.3,1071,https://cpu.userbenchmark.com/SpeedTest/5327/AMD-A6-3410MX-APU-with-Radeontm-HD-Graphics,
CPU,,Intel,Pentium D 3.73GHz,1049,38.3,44,https://cpu.userbenchmark.com/SpeedTest/10162/IntelR-PentiumR-D-CPU-373GHz,
CPU,HE8067702740018,Intel,Pentium Gold 4415Y,1050,38.2,2625,https://cpu.userbenchmark.com/SpeedTest/549016/IntelR-PentiumR-CPU-4415Y---160GHz,
CPU,,Intel,Celeron 2957U,1051,38.1,2764,https://cpu.userbenchmark.com/SpeedTest/12071/IntelR-CeleronR-2957U---140GHz,
CPU,,Intel,Core2 Duo T9300,1052,38.1,3287,https://cpu.userbenchmark.com/SpeedTest/2444/IntelR-CoreTM2-Duo-CPU-----T9300----250GHz,
CPU,,Intel,Core i3 M 330,1053,38,14119,https://cpu.userbenchmark.com/SpeedTest/484/IntelR-CoreTM-i3-CPU-------M-330----213GHz,
CPU,,Intel,Core M-5Y31,1054,38,112,https://cpu.userbenchmark.com/SpeedTest/33034/IntelR-CoreTM-M-5Y31-CPU---090GHz,
CPU,,AMD,Athlon II X2 215,1055,37.8,4513,https://cpu.userbenchmark.com/SpeedTest/885/AMD-Athlontm-II-X2-215-Processor,
CPU,,AMD,Turion II Ultra Mobile M600,1056,37.8,250,https://cpu.userbenchmark.com/SpeedTest/5449/AMD-Turiontm-II-Ultra-Dual-Core-Mobile-M600,
CPU,,Intel,Core2 Duo E6750,1057,37.8,9456,https://cpu.userbenchmark.com/SpeedTest/729/IntelR-CoreTM2-Duo-CPU-----E6750----266GHz,
CPU,,Intel,Core2 Duo E7200,1058,37.8,6054,https://cpu.userbenchmark.com/SpeedTest/1876/IntelR-CoreTM2-Duo-CPU-----E7200----253GHz,
CPU,,Intel,Pentium E6300,1059,37.8,2604,https://cpu.userbenchmark.com/SpeedTest/3310/PentiumR-Dual-Core--CPU------E6300----280GHz,
CPU,,AMD,A8-3520M APU,1060,37.7,1349,https://cpu.userbenchmark.com/SpeedTest/6369/AMD-A8-3520M-APU-with-Radeontm-HD-Graphics,
